日付,売上,客単価,客数
2025/07/01,11384829,521.04480549199,21850
2025/07/02,10344433,482.460379646471,21441
2025/07/03,10481537,472.844182794243,22167
2025/07/04,11018930,490.165925266903,22480
2025/07/05,9781462,495.163612432924,19754
2025/07/06,7821340,470.201995911987,16634
2025/07/07,10408449,480.338225114218,21669
2025/07/08,10334624,462.047838333258,22367
2025/07/09,10854090,482.14685501066,22512
2025/07/10,11235479,486.06874324032,23115
2025/07/11,10736316,477.339320647341,22492
2025/07/12,9340929,490.028800755429,19062
2025/07/13,7385719,465.652796166698,15861
2025/07/14,10347518,493.020678482942,20988
2025/07/15,11037103,501.777732314966,21996
2025/07/16,10410451,483.262974654163,21542
2025/07/17,10789891,476.73269120311,22633
2025/07/18,11601860,487.801042717793,23784
2025/07/19,9679768,463.080323398555,20903
2025/07/20,8687785,490.502766485998,17712
2025/07/21,7658705,470.870273593605,16265
2025/07/22,10800799,478.780043441641,22559
2025/07/23,11352519,486.772961152559,23322
2025/07/24,10979414,462.563784967981,23736
2025/07/25,12042187,487.044974721941,24725
2025/07/26,10589964,469.039064576136,22578
2025/07/27,8516149,498.661962759105,17078
2025/07/28,11221362,493.85450224452,22722
2025/07/29,11049514,478.810677297742,23077
2025/07/30,11810267,517.789775965627,22809
2025/07/31,11051199,485.233765093304,22775
