日付,売上,客単価,客数
2024/09/01,6937358,497.408618340861,13947
2024/09/02,9720053,478.749593656109,20303
2024/09/03,9292754,471.450154735934,19711
2024/09/04,9208920,456.723701830084,20163
2024/09/05,9623881,465.056586450178,20694
2024/09/06,9962545,462.943540892193,21520
2024/09/07,9244810,448.320159061151,20621
2024/09/08,6923674,464.613743121728,14902
2024/09/09,9209306,456.245033440673,20185
2024/09/10,9918079,477.887587934855,20754
2024/09/11,9620998,459.433551406332,20941
2024/09/12,9273407,439.414660727824,21104
2024/09/13,9831067,452.773315525261,21713
2024/09/14,8454025,450.06521507666,18784
2024/09/15,7133722,462.898059827396,15411
2024/09/16,5865825,482.744218582832,12151
2024/09/17,8125821,469.483533626068,17308
2024/09/18,8059800,451.6559260297,17845
2024/09/19,8179201,467.86414597872,17482
2024/09/20,8702841,463.879377431906,18761
2024/09/21,7491265,472.784159040706,15845
2024/09/22,6190402,486.973096286972,12712
2024/09/23,5723157,472.753758466875,12106
2024/09/24,7606099,470.092645241038,16180
2024/09/25,8655389,501.994490198352,17242
2024/09/26,8276210,473.955446111556,17462
2024/09/27,8815567,482.357572773035,18276
2024/09/28,7078274,455.018899460015,15556
2024/09/29,6028727,482.7616111467,12488
2024/09/30,8273931,484.195400280898,17088
2024/10/01,8451020,495.835484628021,17044
2024/10/02,7883156,454.806207811688,17333
2024/10/03,8013920,471.407058823529,17000
2024/10/04,8748459,486.5931920574,17979
2024/10/05,7775689,515.731843204881,15077
2024/10/06,6308615,521.847547357101,12089
2024/10/07,8176115,484.596669037458,16872
2024/10/08,8114005,469.316039100005,17289
2024/10/09,8175874,465.729080034178,17555
2024/10/10,8219262,473.459792626728,17360
2024/10/11,8918399,483.696659073652,18438
2024/10/12,7088829,451.747960744328,15692
2024/10/13,6218239,464.463624141021,13388
2024/10/14,5521234,455.998843739676,12108
2024/10/15,8677494,491.308685313101,17662
2024/10/16,8121215,465.052682815094,17463
2024/10/17,8083293,460.062208309618,17570
2024/10/18,8762015,486.10346740638,18025
2024/10/19,7417521,475.268853719484,15607
2024/10/20,6307564,496.384984654127,12707
2024/10/21,8265911,488.817918391484,16910
2024/10/22,7885390,463.083744420953,17028
2024/10/23,7949492,463.960079374343,17134
2024/10/24,8263067,475.052719328504,17394
2024/10/25,8892640,483.558455682436,18390
2024/10/26,7352740,459.029841428393,16018
2024/10/27,6303021,475.269265570803,13262
2024/10/28,7956053,463.315455392499,17172
2024/10/29,8566740,476.432901395917,17981
2024/10/30,8355588,473.726499603129,17638
2024/10/31,8766415,495.669738776433,17686
2024/11/01,9588639,519.934876911397,18442
2024/11/02,7635881,522.93391316258,14602
2024/11/03,7592280,517.678985408427,14666
2024/11/04,6091046,478.329354484058,12734
2024/11/05,8021320,468.781485594062,17111
2024/11/06,7956390,463.740164364399,17157
2024/11/07,7951248,446.824838437763,17795
2024/11/08,8534602,462.605127649195,18449
2024/11/09,7619486,486.029597499521,15677
2024/11/10,6546694,523.191400943019,12513
2024/11/11,8267291,483.495584537107,17099
2024/11/12,7917697,458.970320561126,17251
2024/11/13,7699078,442.272403492647,17408
2024/11/14,8208998,465.6266591038,17630
2024/11/15,8865841,486.946833635414,18207
2024/11/16,7747049,503.807569747024,15377
2024/11/17,6057667,462.417328244274,13100
2024/11/18,7830743,457.724047229366,17108
2024/11/19,8062832,463.487698321453,17396
2024/11/20,8629090,486.639408978118,17732
2024/11/21,8913419,493.736165734226,18053
2024/11/22,9109567,494.52076434504,18421
2024/11/23,7360058,488.456198566498,15068
2024/11/24,6568006,457.796473130271,14347
