日付,売上数量,売上金額
2025/08/01,5364,1100373
2025/08/02,4676,836688
2025/08/03,3646,741130
2025/08/04,4702,934427
2025/08/05,4575,958681
2025/08/06,4792,936301
2025/08/07,4630,1116777
2025/08/08,4913,955385
2025/08/09,4002,732917
2025/08/10,3458,675046
2025/08/11,2942,752364
2025/08/12,3668,824103
2025/08/13,3451,682798
2025/08/14,3104,634572
2025/08/15,3420,660539
2025/08/16,3230,613438
2025/08/17,3146,582372
2025/08/18,3993,829334
2025/08/19,4145,820317
2025/08/20,4411,929658
2025/08/21,4386,866582
2025/08/22,4756,982099
2025/08/23,5032,907955
2025/08/24,4062,769989
2025/08/25,4285,875548
2025/08/26,4332,832986
2025/08/27,4350,854427
2025/08/28,4474,875662
2025/08/29,4642,925785
2025/08/30,4082,741197
2025/08/31,3184,587017
