カテゴリ,フラグ,フラグON時売上,フラグOFF時売上,売上差分,売上影響率(%),フラグON日数,フラグOFF日数,数量影響率(%),絶対影響額
280:チケット・カード,祝日フラグ,54000.0,11932.767295597485,42067.232704402515,352.5354317428359,4,159,8.016304347826091,42067.232704402515
280:チケット・カード,降雨フラグ,18546.267605633802,8657.880434782608,9888.387170851194,114.21256328656474,71,92,8.190892930397908,9888.387170851194
280:チケット・カード,土曜フラグ,7306.8421052631575,13711.666666666666,-6404.824561403509,-46.710766219060474,19,144,5.009511731135074,6404.824561403509
280:チケット・カード,週末フラグ,8766.5,14330.487804878048,-5563.987804878048,-38.82622755510169,40,123,-1.0839160839160913,5563.987804878048
280:チケット・カード,連休フラグ,17916.5625,12426.156462585033,5490.406037414967,44.184266099871635,16,147,-3.2894736842105226,5490.406037414967
399:その他,降雨フラグ,7920.428571428572,3591.6666666666665,4328.761904761905,120.52237321842891,14,13,147.14285714285717,4328.761904761905
399:その他,日曜フラグ,2757.0,6335.434782608696,-3578.434782608696,-56.4828603781354,3,24,-69.19642857142857,3578.434782608696
280:チケット・カード,日曜フラグ,10087.142857142857,13390.704225352112,-3303.5613682092553,-24.670557370349112,21,142,-6.310958118187024,3303.5613682092553
140:カウンターＦＦ,週末フラグ,4289.430555555556,1321.7557251908397,2967.674830364716,224.5252109603106,91,154,235.4366712391404,2967.674830364716
140:カウンターＦＦ,平日フラグ,1319.5396825396826,4100.350649350649,-2780.8109668109664,-67.81885757139693,147,98,-68.91072295002428,2780.8109668109664
140:カウンターＦＦ,休日フラグ,4100.350649350649,1319.5396825396826,2780.8109668109664,210.74098821028363,98,147,221.65431135388224,2780.8109668109664
399:その他,平日フラグ,6688.777777777777,4198.5,2490.2777777777774,59.31351143927063,19,8,102.11640211640211,2490.2777777777774
399:その他,休日フラグ,4198.5,6688.777777777777,-2490.2777777777774,-37.23068489509792,8,19,-50.523560209424076,2490.2777777777774
399:その他,週末フラグ,4019.1666666666665,6493.55,-2474.3833333333337,-38.10524802817155,6,21,-50.73891625615764,2474.3833333333337
140:カウンターＦＦ,土曜フラグ,4354.6,1888.3742331288342,2466.2257668711663,130.60047757508818,48,197,134.5029639762882,2466.2257668711663
140:カウンターＦＦ,日曜フラグ,4207.96875,2031.1929824561403,2176.7757675438597,107.16735368550157,43,202,110.98859507468713,2176.7757675438597
399:その他,連休フラグ,7788.0,5679.217391304348,2108.782608695652,37.131570485829336,3,24,40.101522842639596,2108.782608695652
140:カウンターＦＦ,連休フラグ,3511.7083333333335,2221.832402234637,1289.8759310986966,58.05460077913109,38,207,61.82928261124809,1289.8759310986966
260:雨具,土曜フラグ,1800.8666666666666,2992.6060606060605,-1191.739393939394,-39.822795576977605,16,108,-43.87755102040816,1191.739393939394
260:雨具,降雨フラグ,2971.3333333333335,1941.2666666666667,1030.0666666666668,53.06157491672106,102,22,86.23737373737373,1030.0666666666668
