カテゴリ,最大Uplift,最大Downlift,売上変動幅,予測難易度
280:チケット・カード,3.342201644976468,0.38826227552392345,3.7304639205003913,A:高難易度
160:インスタントラーメン,2.081818178313437,0.6755162238197769,2.757334402133214,A:高難易度
399:その他,1.499044228479086,0.696097937752911,2.1951421662319968,A:高難易度
140:カウンターＦＦ,2.0184846380234984,0.0398893204936978,2.0583739585171963,A:高難易度
260:雨具,1.1788765361591285,0.25240467517077325,1.4312812113299018,B:中難易度
165:インスタント食品,1.1824383948042856,0.13496007264491625,1.3173984674492019,B:中難易度
300:日本酒・焼酎,0.800766279462163,0.1851851846214555,0.9859514640836186,B:中難易度
250:文具・玩具・趣味雑貨,0.757909017658526,0.13680351765120316,0.8947125353097292,B:中難易度
170:乾物・缶詰・調味料,0.46658097644395036,0.2121330722617484,0.6787140487056987,B:中難易度
265:雑誌・コミック・新聞,0.24182735695429108,0.41780034595619797,0.6596277029104891,B:中難易度
145:パン,0.28338760554354425,0.33002693646381626,0.6134145420073605,B:中難易度
125:日配品・生鮮品,0.4899476146089781,0.10120038119693647,0.5911479958059146,B:中難易度
220:化粧品,0.5600159889867226,0.0,0.5600159889867226,B:中難易度
110:調理パン,0.3860316635389686,0.15825862879617555,0.5442902923351441,B:中難易度
215:ドライ飲料,0.5320914331135919,0.0,0.5320914331135919,B:中難易度
100:米飯,0.31167304233127513,0.1564170701867598,0.4680901125180349,C:低難易度
115:サラダ,0.15012825163047103,0.3172820074450602,0.46741025907553124,C:低難易度
225:バス・洗面用品,0.24061495294012603,0.1949737974020341,0.43558875034216016,C:低難易度
105:調理麺,0.32732679747168997,0.10747465654596773,0.4348014540176577,C:低難易度
210:医薬品・医薬部外品,0.24888591760308795,0.1515947913490977,0.4004807089521857,C:低難易度
205:健康サポート飲料,0.3887905615897823,0.00524617040007802,0.39403673198986033,C:低難易度
200:健康食品,0.16646249795251575,0.1890539592207097,0.35551645717322544,C:低難易度
255:電池・電器・喫煙具,0.170502779067308,0.159309565613732,0.32981234468104004,C:低難易度
305:ワイン・洋酒,0.06167723692224522,0.21904285507818974,0.28072009200043496,C:低難易度
135:牛乳・チルド飲料,0.1277505761264812,0.14250256965658448,0.2702531457830657,C:低難易度
xxx:不明,0.20371157521286942,0.059317722509384045,0.2630292977222535,C:低難易度
290:たばこ,0.04024579374864131,0.2115148930480789,0.2517606867967202,C:低難易度
148:半生菓子,0.12129060667729481,0.1302501664782806,0.25154077315557544,C:低難易度
235:家庭雑貨,0.0,0.24999999962349398,0.24999999962349398,C:低難易度
120:惣菜,0.03588664302780851,0.20580348117247163,0.24169012420028013,C:低難易度
245:衣料品,0.1765549157839292,0.06103984315122525,0.23759475893515447,C:低難易度
130:デザート,0.07804464599099527,0.15359313299612878,0.23163777898712407,C:低難易度
240:紙・衛生用品,0.1762358393110448,0.04824396595642716,0.22447980526747197,C:低難易度
190:和風菓子・珍味・豆菓子,0.09513877566526314,0.11882115135620094,0.2139599270214641,C:低難易度
185:洋風菓子・駄菓子,0.05556908109976954,0.13553058114597386,0.1910996622457434,C:低難易度
295:ビール,0.1567662395924627,0.023292674350301017,0.18005891394276372,C:低難易度
398:用度品,0.07522691306366411,0.0717454498805424,0.1469723629442065,C:低難易度
195:スナック菓子,0.09837276107648338,0.04078111979849326,0.13915388087497665,C:低難易度
180:ガム・キャンディ,0.03151648072101852,0.05806408196409226,0.08958056268511078,C:低難易度
900:．,0.0,0.0,0.0,C:低難易度
