特徴量,カテゴリ,分析タイプ,売上_ON,売上_OFF,インパクト率,インパクト絶対値,サンプル数_ON,サンプル数_OFF,格納率,売上_高,売上_低,相関係数,サンプル数_高,サンプル数_低,売上_最大,売上_最小,カテゴリ数,インパクト率_絶対値
季節変動指数_変化率_月,時系列,カテゴリカル,,,7.975609756097561,1308.0,,,0.999988065259163,,,,,,1472.0,164.0,3.0,7.975609756097561
季節変動指数_変化量_月,その他,カテゴリカル,,,7.975609756097561,1308.0,,,0.999988065259163,,,,,,1472.0,164.0,3.0,7.975609756097561
売上数量,その他,連続値（Q75 vs Q25）,,,5.61200660786974,1927.3358553812232,,,0.9827542994903866,2270.7666440546564,343.43078867343314,0.5475287853278784,20638.0,25322.0,,,,5.61200660786974
季節_上昇期,その他,バイナリフラグ,297.5,1009.7984964962777,-0.7053867667339148,-712.2984964962777,2.0,83787.0,1.0,,,,,,,,,0.7053867667339148
暖かくなった_7d,その他,バイナリフラグ,570.7857142857143,1009.9305229909494,-0.4348267516508861,-439.14480870523505,28.0,83761.0,1.0,,,,,,,,,0.4348267516508861
寒くなった_7d,その他,バイナリフラグ,1270.4489795918366,1009.6259873137774,0.25833625080512035,260.82299227805925,49.0,83740.0,1.0,,,,,,,,,0.25833625080512035
気温差_拡大,気温,バイナリフラグ,1248.5067553077417,995.4509011328528,0.2542122910199829,253.05585417488896,4739.0,79050.0,1.0,,,,,,,,,0.2542122910199829
平均気温_変化量_vs_MA7,時系列,連続値（Q75 vs Q25）,,,-0.25405382319751474,-292.0045718380371,,,0.9999283915549774,857.3761702538364,1149.3807420918736,-0.06043762266440925,20999.0,21012.0,,,,0.25405382319751474
連休日数,フラグ,カテゴリカル,,,0.25219743484834717,210.59636645589228,,,1.0,,,,,,1045.6419987896602,835.0456323337679,4.0,0.25219743484834717
気温差_変化量_1d,気温,連続値（Q75 vs Q25）,,,0.24067990749782425,218.37636866613514,,,0.999988065259163,1125.7074829931973,907.3311143270622,0.04488955786817,21009.0,21014.0,,,,0.24067990749782425
曜日,その他,カテゴリカル,,,0.22215100161899595,198.0445871301588,,,1.0,,,,,,1089.530944098374,891.4863569682152,7.0,0.22215100161899595
気温差_大,気温,バイナリフラグ,1180.3692194403534,976.0917790090601,0.20928097626093944,204.27744043129326,13711.0,70078.0,1.0,,,,,,,,,0.20928097626093944
気温トレンド_14d,時系列,連続値（Q75 vs Q25）,,,-0.20087889789780805,-225.2780153047355,,,0.9998329136282805,896.1838090195889,1121.4618243243244,-0.04521188144120515,21156.0,21019.0,,,,0.20087889789780805
気温下降_急_1d,気温,バイナリフラグ,807.0,1009.7910467700603,-0.20082476213144512,-202.79104677006035,4.0,83785.0,1.0,,,,,,,,,0.20082476213144512
休日タイプ,フラグ,カテゴリカル,,,0.19665078279790293,171.83485820948806,,,1.0,,,,,,1045.6419987896602,873.8071405801721,4.0,0.19665078279790293
