フェイスくくり大分類,売上金額,売上数量,構成比,累積構成比,平均単価
290:たばこ,17548793.0,34601.0,21.1,21.1,507.0
100:米飯,15378721.0,79765.0,18.5,39.6,193.0
215:ドライ飲料,14804873.0,112038.0,17.8,57.4,132.0
145:パン,7513568.0,51756.0,9.0,66.4,145.0
110:調理パン,4363530.0,13656.0,5.2,71.6,320.0
180:ガム・キャンディ,4246163.0,24873.0,5.1,76.7,171.0
135:牛乳・チルド飲料,2113940.0,12854.0,2.5,79.2,164.0
280:チケット・カード,2113310.0,189.0,2.5,81.7,11182.0
205:健康サポート飲料,1699667.0,8454.0,2.0,83.7,201.0
240:紙・衛生用品,1353080.0,4891.0,1.6,85.3,277.0
185:洋風菓子・駄菓子,1328408.0,8155.0,1.6,86.9,163.0
305:ワイン・洋酒,1259495.0,7142.0,1.5,88.4,176.0
295:ビール,1062480.0,4945.0,1.3,89.7,215.0
130:デザート,921764.0,4758.0,1.1,90.8,194.0
265:雑誌・コミック・新聞,875781.0,3238.0,1.1,91.9,270.0
250:文具・玩具・趣味雑貨,597712.0,3126.0,0.7,92.6,191.0
200:健康食品,545062.0,3924.0,0.7,93.3,139.0
220:化粧品,523530.0,1649.0,0.6,93.9,317.0
195:スナック菓子,503536.0,3155.0,0.6,94.5,160.0
140:カウンターＦＦ,481989.0,3455.0,0.6,95.1,140.0
105:調理麺,469343.0,962.0,0.6,95.7,488.0
245:衣料品,468077.0,813.0,0.6,96.3,576.0
120:惣菜,441578.0,2263.0,0.5,96.8,195.0
190:和風菓子・珍味・豆菓子,436984.0,2924.0,0.5,97.3,149.0
115:サラダ,358168.0,1379.0,0.4,97.7,260.0
260:雨具,323281.0,319.0,0.4,98.1,1013.0
255:電池・電器・喫煙具,281441.0,638.0,0.3,98.4,441.0
148:半生菓子,254135.0,1461.0,0.3,98.7,174.0
210:医薬品・医薬部外品,168756.0,1029.0,0.2,98.9,164.0
399:その他,153986.0,233.0,0.2,99.1,661.0
xxx:不明,139596.0,760.0,0.2,99.3,184.0
125:日配品・生鮮品,120519.0,999.0,0.1,99.4,121.0
225:バス・洗面用品,115495.0,429.0,0.1,99.5,269.0
398:用度品,59287.0,19029.0,0.1,99.6,3.0
170:乾物・缶詰・調味料,51940.0,81.0,0.1,99.7,641.0
165:インスタント食品,44632.0,216.0,0.1,99.8,207.0
300:日本酒・焼酎,12264.0,56.0,0.0,99.8,219.0
160:インスタントラーメン,10341.0,29.0,0.0,99.8,357.0
235:家庭雑貨,2988.0,6.0,0.0,99.8,498.0
285:サービス,200.0,1.0,0.0,99.8,200.0
900:．,0.0,0.0,0.0,99.8,
