カテゴリ,A,B,C
100:米飯,60,28,57
105:調理麺,1,8,60
110:調理パン,19,18,21
115:サラダ,2,4,20
120:惣菜,2,7,14
125:日配品・生鮮品,1,1,6
130:デザート,5,7,74
135:牛乳・チルド飲料,11,18,38
140:カウンターＦＦ,2,2,12
145:パン,52,50,26
148:半生菓子,3,14,27
160:インスタントラーメン,0,0,3
165:インスタント食品,0,1,6
170:乾物・缶詰・調味料,0,1,1
180:ガム・キャンディ,22,79,96
185:洋風菓子・駄菓子,3,30,110
190:和風菓子・珍味・豆菓子,0,10,53
195:スナック菓子,2,6,37
200:健康食品,2,10,15
205:健康サポート飲料,9,4,11
210:医薬品・医薬部外品,1,0,0
215:ドライ飲料,52,27,32
220:化粧品,3,8,14
225:バス・洗面用品,0,3,11
235:家庭雑貨,0,0,2
240:紙・衛生用品,11,10,8
245:衣料品,3,4,23
250:文具・玩具・趣味雑貨,3,5,43
255:電池・電器・喫煙具,0,10,12
260:雨具,2,3,3
265:雑誌・コミック・新聞,4,13,97
280:チケット・カード,5,7,3
285:サービス,0,0,1
290:たばこ,84,53,71
295:ビール,5,6,9
300:日本酒・焼酎,0,0,1
305:ワイン・洋酒,5,13,17
398:用度品,0,2,19
399:その他,1,0,2
900:．,0,0,4
xxx:不明,1,0,0
