カテゴリ,A,B,C
100:米飯,14158583.0,975852.0,244286.0
105:調理麺,54672.0,189139.0,225532.0
110:調理パン,3754826.0,537447.0,71257.0
115:サラダ,214367.0,102531.0,41270.0
120:惣菜,173424.0,224289.0,43865.0
125:日配品・生鮮品,57548.0,22933.0,40038.0
130:デザート,504066.0,138858.0,278840.0
135:牛乳・チルド飲料,1467412.0,492785.0,153743.0
140:カウンターＦＦ,434970.0,45599.0,1420.0
145:パン,5941885.0,1478943.0,92740.0
148:半生菓子,191184.0,393671.0,155616.0
160:インスタントラーメン,0.0,0.0,10341.0
165:インスタント食品,0.0,31248.0,13384.0
170:乾物・缶詰・調味料,0.0,46900.0,5040.0
180:ガム・キャンディ,1711850.0,2076789.0,457524.0
185:洋風菓子・駄菓子,191184.0,850812.0,442608.0
190:和風菓子・珍味・豆菓子,0.0,201524.0,260369.0
195:スナック菓子,189546.0,158016.0,155974.0
200:健康食品,153684.0,344026.0,47352.0
205:健康サポート飲料,1736065.0,100716.0,31642.0
210:医薬品・医薬部外品,235176.0,0.0,0.0
215:ドライ飲料,13731990.0,907083.0,165800.0
220:化粧品,253290.0,212789.0,57451.0
225:バス・洗面用品,0.0,69119.0,46376.0
235:家庭雑貨,0.0,0.0,2988.0
240:紙・衛生用品,1072876.0,234406.0,45798.0
245:衣料品,288000.0,94800.0,85277.0
250:文具・玩具・趣味雑貨,328492.0,130856.0,138364.0
255:電池・電器・喫煙具,0.0,220810.0,60631.0
260:雨具,200973.0,110770.0,11538.0
265:雑誌・コミック・新聞,260183.0,353744.0,261854.0
280:チケット・カード,1909410.0,184910.0,18990.0
285:サービス,0.0,0.0,200.0
290:たばこ,15765804.0,1391385.0,391604.0
295:ビール,845748.0,155008.0,61724.0
300:日本酒・焼酎,0.0,0.0,12264.0
305:ワイン・洋酒,800192.0,338612.0,120691.0
398:用度品,0.0,54102.0,5185.0
399:その他,152774.0,0.0,1212.0
900:．,0.0,0.0,8856.0
xxx:不明,139596.0,0.0,0.0
