カテゴリ,売上金額,売上数量,商品数,構成比,累積構成比,ABCランク
290:たばこ,17548793.0,34601.0,208,21.1,21.1,A
100:米飯,15378721.0,79765.0,145,18.5,39.6,A
215:ドライ飲料,14804873.0,112038.0,111,17.8,57.4,A
145:パン,7513568.0,51756.0,128,9.0,66.4,A
110:調理パン,4363530.0,13656.0,58,5.2,71.6,A
180:ガム・キャンディ,4246163.0,24873.0,197,5.1,76.7,A
135:牛乳・チルド飲料,2113940.0,12854.0,67,2.5,79.2,A
280:チケット・カード,2113310.0,189.0,15,2.5,81.7,B
205:健康サポート飲料,1699667.0,8454.0,24,2.0,83.7,B
240:紙・衛生用品,1353080.0,4891.0,29,1.6,85.3,B
185:洋風菓子・駄菓子,1328408.0,8155.0,143,1.6,86.9,B
305:ワイン・洋酒,1259495.0,7142.0,35,1.5,88.4,B
295:ビール,1062480.0,4945.0,20,1.3,89.7,B
130:デザート,921764.0,4758.0,86,1.1,90.8,B
265:雑誌・コミック・新聞,875781.0,3238.0,114,1.1,91.9,B
250:文具・玩具・趣味雑貨,597712.0,3126.0,51,0.7,92.6,B
200:健康食品,545062.0,3924.0,27,0.7,93.3,B
220:化粧品,523530.0,1649.0,25,0.6,93.9,B
195:スナック菓子,503536.0,3155.0,45,0.6,94.5,B
140:カウンターＦＦ,481989.0,3455.0,16,0.6,95.1,C
105:調理麺,469343.0,962.0,69,0.6,95.7,C
245:衣料品,468077.0,813.0,30,0.6,96.3,C
120:惣菜,441578.0,2263.0,23,0.5,96.8,C
190:和風菓子・珍味・豆菓子,436984.0,2924.0,63,0.5,97.3,C
115:サラダ,358168.0,1379.0,26,0.4,97.7,C
260:雨具,323281.0,319.0,8,0.4,98.1,C
255:電池・電器・喫煙具,281441.0,638.0,22,0.3,98.4,C
148:半生菓子,254135.0,1461.0,44,0.3,98.7,C
210:医薬品・医薬部外品,168756.0,1029.0,1,0.2,98.9,C
399:その他,153986.0,233.0,3,0.2,99.1,C
xxx:不明,139596.0,760.0,1,0.2,99.3,C
125:日配品・生鮮品,120519.0,999.0,8,0.1,99.4,C
225:バス・洗面用品,115495.0,429.0,14,0.1,99.5,C
398:用度品,59287.0,19029.0,21,0.1,99.6,C
170:乾物・缶詰・調味料,51940.0,81.0,2,0.1,99.7,C
165:インスタント食品,44632.0,216.0,7,0.1,99.8,C
300:日本酒・焼酎,12264.0,56.0,1,0.0,99.8,C
160:インスタントラーメン,10341.0,29.0,3,0.0,99.8,C
235:家庭雑貨,2988.0,6.0,2,0.0,99.8,C
285:サービス,200.0,1.0,1,0.0,99.8,C
900:．,0.0,0.0,4,0.0,99.8,C
