商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,フェイスくくり大分類
テリアメンソール,1960992.0,3714.0,92,3,2.358423846285557,2.358423846285557,A,21315.0,528.0,290:たばこ
い・ろ・は・す５４０,1190974.0,10093.0,60,3,1.432347241552283,3.79077108783784,A,19850.0,118.0,215:ドライ飲料
◎ジャスミン茶６００,1180190.0,10729.0,92,3,1.4193776614834488,5.210148749321289,A,12828.0,110.0,215:ドライ飲料
直巻　焼しゃけ,1021944.0,6468.0,92,3,1.2290601385260354,6.439208887847324,A,11108.0,158.0,100:米飯
◎緑茶６００,1019700.0,9270.0,92,3,1.2263613497950947,7.665570237642419,A,11084.0,110.0,215:ドライ飲料
テリアＯパール,968880.0,1835.0,92,3,1.1652417226532032,8.830811960295623,A,10531.0,528.0,290:たばこ
直巻　和風ツナマヨネーズ,947640.0,6360.0,92,3,1.1396970378737115,9.970508998169334,A,10300.0,149.0,100:米飯
手巻シーチキンマヨネーズ,880770.0,5338.0,92,3,1.0592745768942096,11.029783575063544,A,9574.0,165.0,100:米飯
鮭はらみおむすび,870492.0,3374.0,92,3,1.0469135472254893,12.076697122289033,A,9462.0,258.0,100:米飯
３種のミックスサンド,823672.0,2764.0,85,3,0.9906045951833139,13.067301717472347,A,9690.0,298.0,110:調理パン
◎天然水新潟県津南６００,794970.0,7227.0,92,2,0.956085596005302,14.023387313477649,A,8641.0,110.0,215:ドライ飲料
直巻　とり五目,692340.0,4196.0,92,3,0.8326556996343394,14.856043013111988,A,7525.0,165.0,100:米飯
健康ミネラルむぎ茶,668498.0,4231.0,71,3,0.8039816707024823,15.66002468381447,A,9415.0,158.0,215:ドライ飲料
ｉｎゼリーエネルギー,629370.0,2997.0,92,3,0.7569236468770607,16.41694833069153,A,6841.0,210.0,205:健康サポート飲料
直巻　明太子マヨネーズ,626670.0,3798.0,92,3,0.7536764411847524,17.17062477187628,A,6812.0,165.0,100:米飯
ＳＰＡＭ　ツナマヨネーズ,588616.0,2192.0,92,3,0.7079100836236044,17.878534855499886,A,6398.0,269.0,100:米飯
サントリー天然水　５５０,588112.0,4984.0,37,3,0.7073039385610402,18.585838794060926,A,15895.0,118.0,215:ドライ飲料
テリアブラックメンソール,577104.0,1093.0,92,3,0.6940649606866219,19.279903754747547,A,6273.0,528.0,290:たばこ
手巻　紀州南高梅,537832.0,3404.0,92,3,0.6468337525576104,19.92673750730516,A,5846.0,158.0,100:米飯
◎アップル香るジャスミン,526350.0,4785.0,92,3,0.6330247096838757,20.559762216989036,A,5721.0,110.0,215:ドライ飲料
アクエリアス５００,525600.0,3285.0,92,3,0.632122708102679,21.191884925091713,A,5713.0,160.0,215:ドライ飲料
ＡｐｐｌｅＧＣ＿ＶＡＲ,510600.0,46.0,34,3,0.6140826764787441,21.805967601570458,A,15018.0,11100.0,280:チケット・カード
スーパードライ３５０,490968.0,2273.0,92,3,0.5904718830893381,22.396439484659798,A,5337.0,216.0,295:ビール
楽天ギフトバリアブル,460500.0,14.0,9,1,0.5538289708548015,22.9502684555146,A,51167.0,32893.0,280:チケット・カード
センティアＦグリーン,459346.0,953.0,91,3,0.5524410910885335,23.502709546603132,A,5048.0,482.0,290:たばこ
テリアミント,447216.0,847.0,92,3,0.5378527188486448,24.040562265451776,A,4861.0,528.0,290:たばこ
テリアレギュラー,438240.0,830.0,91,3,0.5270575639248821,24.567619829376657,A,4816.0,528.0,290:たばこ
午後の紅茶　レモンティー,434880.0,2718.0,92,3,0.5230165968411207,25.090636426217777,A,4727.0,160.0,215:ドライ飲料
赤飯おむすび,433125.0,2625.0,92,3,0.5209059131411203,25.6115423393589,A,4708.0,165.0,100:米飯
ジューシーハムサンド,423819.0,1427.0,92,3,0.5097138775216311,26.12125621688053,A,4607.0,297.0,110:調理パン
手巻　真昆布,422808.0,2676.0,92,3,0.5084979793901779,26.629754196270707,A,4596.0,158.0,100:米飯
手巻　紅しゃけ,420225.0,2155.0,92,3,0.5053914859445363,27.135145682215242,A,4568.0,195.0,100:米飯
◎麦茶６００,403480.0,3668.0,92,2,0.4852527973083503,27.620398479523594,A,4386.0,110.0,215:ドライ飲料
センティアＩブラック,401024.0,832.0,91,3,0.4822990427971247,28.102697522320717,A,4407.0,482.0,290:たばこ
角ハイボール３５０,396390.0,1810.0,92,3,0.47672587569410374,28.57942339801482,A,4309.0,219.0,305:ワイン・洋酒
