商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価,潜在売上,機会ロス金額
楽天ギフトバリアブル,460500.0,14.0,9,1,0.5538289708548015,22.9502684555146,A,51167.0,32893.0,4707364.0,4246864.0
ＡｐｐｌｅＧＣ　ＶＡＲ,299200.0,13.0,11,1,0.35983849745875485,33.69388661693398,A,27200.0,23015.0,2502400.0,2203200.0
ポケカ拡張インフェルノ,102664.0,626.0,4,3,0.1234707871093102,65.89994327372185,A,25666.0,164.0,2361272.0,2258608.0
い・ろ・は・す５４０,1190974.0,10093.0,60,3,1.432347241552283,3.79077108783784,A,19850.0,118.0,1826200.0,635226.0
サントリー天然水　５５０,588112.0,4984.0,37,3,0.7073039385610402,18.585838794060926,A,15895.0,118.0,1462340.0,874228.0
ＡｍａｚｏｎＶＡＲ,336100.0,28.0,22,3,0.40421697525363476,30.271165848950115,A,15277.0,12004.0,1405484.0,1069384.0
ＡｐｐｌｅＧＣ＿ＶＡＲ,510600.0,46.0,34,3,0.6140826764787441,21.805967601570458,A,15018.0,11100.0,1381656.0,871056.0
ＧＰｌａｙバリアブル,303010.0,36.0,30,3,0.3644206654912343,33.33404811947523,A,10100.0,8417.0,929200.0,626190.0
ポケカ拡張メガブレイブ,112996.0,689.0,12,3,0.13589676089187655,63.149558849667955,A,9416.0,164.0,866272.0,753276.0
健康ミネラルむぎ茶,668498.0,4231.0,71,3,0.8039816707024823,15.66002468381447,A,9415.0,158.0,866180.0,197682.0
その他３口座売上,152774.0,226.0,17,3,0.18373651942100205,55.45728455454703,A,8987.0,676.0,826804.0,674030.0
大きな　鮭マヨと生たらこ,260544.0,944.0,29,3,0.3133481332950997,37.33935727672878,A,8984.0,276.0,826528.0,565984.0
午後フルーツティ白ぶどう,79158.0,501.0,9,3,0.09520085488582927,71.05644818500615,A,8795.0,158.0,809140.0,729982.0
ポケカ拡張メガシンフォ,112832.0,688.0,13,3,0.1356995232127882,63.42102404287615,A,8679.0,164.0,798468.0,685636.0
具だくさん！チキン南蛮,230282.0,1042.0,28,3,0.2769529708281985,41.42076169270962,A,8224.0,221.0,756608.0,526326.0
ミックスサンド,64584.0,234.0,8,3,0.07767316016001412,75.17478174838995,A,8073.0,276.0,742716.0,678132.0
大きな　肉そぼろ卵黄ソー,173151.0,583.0,23,3,0.20824330104773017,51.68798110434167,A,7528.0,297.0,692576.0,519425.0
大きな　チキンとタルタル,118864.0,391.0,16,3,0.1429540212631599,61.20006283222744,A,7429.0,304.0,683468.0,564604.0
午後フルーツティオレンジ,66360.0,420.0,9,3,0.07980909990428801,74.54655568711803,A,7373.0,158.0,678316.0,611956.0
高菜たくあんおむすび,252045.0,1867.0,36,3,0.3031266513769782,38.56024167292284,A,7001.0,135.0,644092.0,392047.0
テリアメンソール１０Ｐ,110733.0,21.0,16,3,0.13317512145421226,64.22863175993504,A,6921.0,5273.0,636732.0,525999.0
青磯海苔　まぐろたくあん,241604.0,1292.0,36,3,0.2905695866979445,39.73072703143473,A,6711.0,187.0,617412.0,375808.0
スターバックスカフェラテ,59630.0,335.0,9,3,0.07171513904901589,77.04405374519887,A,6626.0,178.0,609592.0,549962.0
たまごサンド,176490.0,666.0,29,3,0.21225901208721804,50.847210998482886,A,6086.0,265.0,559912.0,383422.0
ＳＰＡＭ　玉子焼き,214718.0,686.0,36,3,0.25823463401520363,42.480127672430726,A,5964.0,313.0,548688.0,333970.0
クア・アイナテリチキン,94095.0,255.0,16,3,0.11316511837694365,67.67219838579476,A,5881.0,369.0,541052.0,446957.0
大きな　僕の梅おかか,313929.0,1057.0,56,3,0.37755260584468403,32.593691234972816,A,5606.0,297.0,515752.0,201823.0
もち麦　新生姜とわかめ,233253.0,1431.0,42,3,0.2805260997585125,40.86662724398599,A,5554.0,163.0,510968.0,277715.0
漬け真鯛おむすび,159120.0,612.0,29,3,0.19136865546670145,55.085691172482115,A,5487.0,260.0,504804.0,345684.0
ブレンドＳ,337365.0,2499.0,62,2,0.4057383512539199,29.86694887369648,A,5441.0,135.0,500572.0,163207.0
海老マヨネーズおむすび,160847.0,673.0,30,3,0.19344566444100383,54.70111377832307,A,5362.0,239.0,493304.0,332457.0
テリアブラックＭ１０Ｐ,52730.0,10.0,10,1,0.06341672450200583,79.2877285583309,A,5273.0,5273.0,485116.0,432386.0
豚バラしょうゆ,188784.0,684.0,36,2,0.2270446220061951,48.0018879013361,A,5244.0,276.0,482448.0,293664.0
スターバックス　ブラック,52416.0,312.0,10,3,0.06303908650667812,79.41380673134425,A,5242.0,168.0,482264.0,429848.0
◎シャルドネ香るティー,156200.0,1420.0,30,3,0.18785686264390877,55.273548035126026,A,5207.0,110.0,479044.0,322844.0
ＳＰＡＭ　玉子焼き明太子,108117.0,293.0,21,3,0.130028939938998,65.14646527288495,A,5148.0,369.0,473616.0,365499.0
柿安監修　牛すきおむすび,86946.0,337.0,17,3,0.10456723930497627,68.96664281493855,A,5114.0,258.0,470488.0,383542.0
炭火焼うなぎおむすび,120294.0,326.0,24,3,0.14467383761130836,60.913596751389555,A,5012.0,369.0,461104.0,340810.0
