商品名,売上金額,売上数量,販売日数,取扱店舗数,構成比,累積構成比,ABCランク,1日平均売上,平均単価
スポーツ報知（関東東北北,0.0,0.0,14,3,0.0,99.99999999999986,C,0.0,
レジ従業員金庫引継ノート,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
備蓄米　２Ｋｇ,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
備蓄米１Ｋｇ,0.0,0.0,1,2,0.0,99.99999999999986,C,0.0,
優馬（関東山形福島）,0.0,0.0,4,2,0.0,99.99999999999986,C,0.0,
コーヒーフレッシュ,0.0,0.0,4,2,0.0,99.99999999999986,C,0.0,
東京新聞（１都６県静０１,0.0,0.0,13,2,0.0,99.99999999999986,C,0.0,
東京スポーツ（１都６県静,0.0,0.0,9,3,0.0,99.99999999999986,C,0.0,
コーヒーリッド黒Ｓ,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
東京スポーツ競馬特別版,0.0,0.0,6,3,0.0,99.99999999999986,C,0.0,
新旧両用）ペーパフィルタ,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
新・値下シール３０円,0.0,0.0,2,1,0.0,99.99999999999986,C,0.0,
カーセンサー東日本版,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
読売新聞（１都６県静０１,0.0,0.0,13,3,0.0,99.99999999999986,C,0.0,
ＰＯＳレジロール５０巻,0.0,0.0,2,2,0.0,99.99999999999986,C,0.0,
デイリースポーツ（１都６,0.0,0.0,14,2,0.0,99.99999999999986,C,0.0,
ＴＶＬＩＦＥ　首都圏版,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
ＴｈｅＪａｐａｎＮｅｗｓ,0.0,0.0,13,3,0.0,99.99999999999986,C,0.0,
ペーパータオルＢＳ,0.0,0.0,4,3,0.0,99.99999999999986,C,0.0,
プレジデント,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
週　刊　女　性,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
◎お好み焼＆塩焼そば,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
競友（関東福島）,0.0,0.0,4,2,0.0,99.99999999999986,C,0.0,
競馬ブック（関東山形福島,0.0,0.0,4,2,0.0,99.99999999999986,C,0.0,
アルカリ水クリーナ－詰替,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
竹箸　５００膳,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
フライドサイミン,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
研究（関東山形福島）,0.0,0.0,4,2,0.0,99.99999999999986,C,0.0,
発注レジ袋１２号バイオマ,0.0,0.0,3,1,0.0,99.99999999999986,C,0.0,
ａｎａｎ（アンアン）,0.0,0.0,2,1,0.0,99.99999999999986,C,0.0,
Ｗｅｄｇｅ（ウェッジ）,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
産経新聞（宮山梨静０５以,0.0,0.0,13,2,0.0,99.99999999999986,C,0.0,
第１０７回全国高校野球選,0.0,0.0,1,1,0.0,99.99999999999986,C,0.0,
