商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間,月曜発注量,火曜発注量,水曜発注量,木曜発注量,金曜発注量,土曜発注量,日曜発注量
い・ろ・は・す５４０,168.21666666666667,79.36871510773692,6.0,380.0,145.5,0.47,通常,131.0,299.0,1178.0,160.0,167.0,167.0,170.0,178.0,175.0,160.0
ポケカ拡張インフェルノ,156.5,234.11891565327795,8.0,506.0,56.0,1.5,変動大,385.0,542.0,1096.0,149.0,155.0,155.0,158.0,166.0,163.0,149.0
レジ袋,138.9673913043478,22.996154043931597,61.0,184.0,143.5,0.17,安定,38.0,177.0,973.0,132.0,138.0,138.0,140.0,147.0,145.0,132.0
サントリー天然水　５５０,134.7027027027027,39.22078875125117,24.0,229.0,130.0,0.29,安定,65.0,200.0,943.0,128.0,133.0,133.0,136.0,143.0,140.0,128.0
◎ジャスミン茶６００,116.6195652173913,32.41009284914507,44.0,222.0,115.5,0.28,安定,53.0,170.0,816.0,111.0,115.0,115.0,118.0,124.0,121.0,111.0
◎緑茶６００,100.76086956521739,34.68234803426108,47.0,252.0,92.5,0.34,通常,57.0,158.0,705.0,96.0,100.0,100.0,102.0,107.0,105.0,96.0
◎天然水新潟県津南６００,78.55434782608695,23.355524621365845,40.0,180.0,75.0,0.3,通常,38.0,117.0,550.0,75.0,78.0,78.0,79.0,83.0,82.0,75.0
直巻　焼しゃけ,70.30434782608695,26.147400908986516,37.0,160.0,66.0,0.37,通常,43.0,113.0,492.0,67.0,70.0,70.0,71.0,75.0,73.0,67.0
直巻　和風ツナマヨネーズ,69.1304347826087,27.131433208379462,32.0,152.0,63.0,0.39,通常,45.0,114.0,484.0,66.0,68.0,68.0,70.0,73.0,72.0,66.0
健康ミネラルむぎ茶,59.59154929577465,49.19743822157198,1.0,306.0,48.0,0.83,変動大,81.0,141.0,417.0,57.0,59.0,59.0,60.0,63.0,62.0,57.0
手巻シーチキンマヨネーズ,58.02173913043478,17.517952023453958,29.0,120.0,54.0,0.3,通常,29.0,87.0,406.0,55.0,57.0,57.0,59.0,61.0,60.0,55.0
ポケカ拡張メガブレイブ,57.416666666666664,52.93127333599388,10.0,210.0,36.5,0.92,変動大,87.0,144.0,402.0,55.0,57.0,57.0,58.0,61.0,60.0,55.0
レジ袋１２号バイオマス,57.05434782608695,11.079497083078783,32.0,92.0,57.0,0.19,安定,18.0,75.0,399.0,54.0,56.0,56.0,58.0,60.0,59.0,54.0
午後フルーツティ白ぶどう,55.666666666666664,21.37755832643195,7.0,82.0,57.0,0.38,通常,35.0,91.0,390.0,53.0,55.0,55.0,56.0,59.0,58.0,53.0
ポケカ拡張メガシンフォ,52.92307692307692,45.16352056409674,5.0,170.0,41.0,0.85,変動大,74.0,127.0,370.0,50.0,52.0,52.0,53.0,56.0,55.0,50.0
◎アップル香るジャスミン,52.01086956521739,41.095571956116906,1.0,172.0,56.0,0.79,変動大,68.0,120.0,364.0,49.0,51.0,51.0,53.0,55.0,54.0,49.0
高菜たくあんおむすび,51.861111111111114,23.55195203044632,7.0,102.0,44.0,0.45,通常,39.0,91.0,363.0,49.0,51.0,51.0,52.0,55.0,54.0,49.0
◎シャルドネ香るティー,47.333333333333336,25.546891751462045,5.0,84.0,49.0,0.54,通常,42.0,89.0,331.0,45.0,47.0,47.0,48.0,50.0,49.0,45.0
午後フルーツティオレンジ,46.666666666666664,18.694919095839914,2.0,63.0,51.0,0.4,通常,31.0,78.0,327.0,44.0,46.0,46.0,47.0,50.0,49.0,44.0
直巻　とり五目,45.608695652173914,16.925146465994487,23.0,96.0,41.5,0.37,通常,28.0,74.0,319.0,43.0,45.0,45.0,46.0,48.0,47.0,43.0
直巻　明太子マヨネーズ,41.28260869565217,16.984366494156784,17.0,106.0,37.5,0.41,通常,28.0,69.0,289.0,39.0,41.0,41.0,42.0,44.0,43.0,39.0
テリアメンソール,40.369565217391305,16.03136855763926,13.0,76.0,40.0,0.4,通常,26.0,66.0,283.0,38.0,40.0,40.0,41.0,43.0,42.0,38.0
ブレンドＳ,40.306451612903224,63.98349907918176,1.0,194.0,9.0,1.59,変動大,105.0,145.0,282.0,38.0,40.0,40.0,41.0,43.0,42.0,38.0
◎麦茶６００,39.869565217391305,11.502715772310339,17.0,74.0,39.0,0.29,安定,19.0,59.0,279.0,38.0,39.0,39.0,40.0,42.0,41.0,38.0
スターバックスカフェラテ,37.22222222222222,24.656529448493853,1.0,62.0,50.0,0.66,通常,41.0,78.0,261.0,35.0,37.0,37.0,38.0,40.0,39.0,35.0
具だくさん！チキン南蛮,37.214285714285715,16.3284735238493,15.0,78.0,35.0,0.44,通常,27.0,64.0,260.0,35.0,37.0,37.0,38.0,39.0,39.0,35.0
手巻　紀州南高梅,37.0,14.037626047695706,18.0,78.0,34.0,0.38,通常,23.0,60.0,259.0,35.0,37.0,37.0,37.0,39.0,38.0,35.0
鮭はらみおむすび,36.67391304347826,17.073280130365628,12.0,94.0,32.0,0.47,通常,28.0,65.0,257.0,35.0,36.0,36.0,37.0,39.0,38.0,35.0
青磯海苔　まぐろたくあん,35.888888888888886,16.191316504803744,5.0,72.0,30.0,0.45,通常,27.0,63.0,251.0,34.0,35.0,35.0,36.0,38.0,37.0,34.0
アクエリアス５００,35.70652173913044,28.059018664737607,6.0,180.0,30.0,0.79,変動大,46.0,82.0,250.0,34.0,35.0,35.0,36.0,38.0,37.0,34.0
もち麦　新生姜とわかめ,34.07142857142857,20.170484180002944,10.0,84.0,27.0,0.59,通常,33.0,67.0,238.0,32.0,34.0,34.0,34.0,36.0,35.0,32.0
クラフトボスブラック,33.38461538461539,15.236358968447306,1.0,82.0,32.0,0.46,通常,25.0,58.0,234.0,32.0,33.0,33.0,34.0,35.0,35.0,32.0
ｉｎゼリーエネルギー,32.57608695652174,10.57181999120404,13.0,70.0,31.5,0.32,通常,17.0,50.0,228.0,31.0,32.0,32.0,33.0,35.0,34.0,31.0
大きな　鮭マヨと生たらこ,32.55172413793103,11.182212299951306,4.0,49.0,34.0,0.34,通常,18.0,51.0,228.0,31.0,32.0,32.0,33.0,35.0,34.0,31.0
３種のミックスサンド,32.51764705882353,17.63087913745834,7.0,88.0,28.0,0.54,通常,29.0,62.0,228.0,31.0,32.0,32.0,33.0,35.0,34.0,31.0
大きな　月見おむすびマヨ,32.0,,32.0,32.0,32.0,,不明,,,224.0,30.0,32.0,32.0,32.0,34.0,33.0,30.0
鮭わかめおむすび,31.879310344827587,9.673761920342574,1.0,51.0,32.0,0.3,通常,16.0,48.0,223.0,30.0,32.0,32.0,32.0,34.0,33.0,30.0
三陸産わかめおむすび,31.625,9.535023160258536,1.0,41.0,34.5,0.3,通常,16.0,48.0,221.0,30.0,31.0,31.0,32.0,33.0,33.0,30.0
青しそ高菜おむすび,31.307692307692307,10.54047145347581,2.0,47.0,32.5,0.34,通常,17.0,48.0,219.0,30.0,31.0,31.0,32.0,33.0,33.0,30.0
スターバックス　ブラック,31.2,20.00999750124922,1.0,59.0,33.0,0.64,通常,33.0,64.0,218.0,30.0,31.0,31.0,31.0,33.0,32.0,30.0
グリーンダカラ麦茶６８０,30.593220338983052,26.987940246727955,1.0,109.0,24.0,0.88,変動大,44.0,75.0,214.0,29.0,30.0,30.0,31.0,32.0,32.0,29.0
ポケカ拡張　ホワイト,30.0,28.284271247461902,10.0,50.0,30.0,0.94,変動大,47.0,77.0,210.0,28.0,30.0,30.0,30.0,32.0,31.0,28.0
ポケカ拡張　ブラック,30.0,28.284271247461902,10.0,50.0,30.0,0.94,変動大,47.0,77.0,210.0,28.0,30.0,30.0,30.0,32.0,31.0,28.0
午後の紅茶　レモンティー,29.543478260869566,13.103487534658505,5.0,79.0,27.5,0.44,通常,22.0,52.0,207.0,28.0,29.0,29.0,30.0,31.0,31.0,28.0
ポケカ拡張　バトルＰ,29.5,27.577164466275352,10.0,49.0,29.5,0.93,変動大,45.0,74.0,206.0,28.0,29.0,29.0,30.0,31.0,31.0,28.0
ミックスサンド,29.25,6.8190908484929285,13.0,35.0,31.0,0.23,安定,11.0,40.0,205.0,28.0,29.0,29.0,30.0,31.0,30.0,28.0
手巻　真昆布,29.08695652173913,11.184420260769777,13.0,62.0,26.5,0.38,通常,18.0,47.0,204.0,28.0,29.0,29.0,29.0,31.0,30.0,28.0
赤飯おむすび,28.532608695652176,12.049760461762617,12.0,70.0,25.0,0.42,通常,20.0,49.0,200.0,27.0,28.0,28.0,29.0,30.0,30.0,27.0
午後の紅茶おいしい無糖,28.525,15.999980221506764,8.0,86.0,25.0,0.56,通常,26.0,55.0,200.0,27.0,28.0,28.0,29.0,30.0,30.0,27.0
