商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
◎あたりめ　小,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎いちごのクロワッサン（,7.5,4.47213595499958,1.0,18.0,6.5,0.6,通常,7.0,14.0,52.0
◎いちごモッチ,6.666666666666667,4.186144947778269,1.0,16.0,6.0,0.63,通常,7.0,14.0,47.0
◎おいものパウンドケーキ,6.6,3.3974780562730853,2.0,12.0,6.0,0.51,通常,6.0,13.0,46.0
◎おいものマドレーヌ,3.7857142857142856,2.6363894724697734,1.0,10.0,3.5,0.7,変動大,4.0,8.0,26.0
◎おこめチップスのりしお,1.0,0.0,1.0,1.0,1.0,0.0,安定,0.0,1.0,7.0
◎おしゃぶり昆布,3.7222222222222223,1.9718683194279343,1.0,10.0,4.0,0.53,通常,3.0,7.0,26.0
◎おつまみかまぼこチーズ,2.1940298507462686,1.1837127770237892,0.0,6.0,2.0,0.54,通常,2.0,4.0,15.0
◎おつまみイカフライ,1.2727272727272727,0.674199862463242,1.0,4.0,1.0,0.53,通常,1.0,2.0,9.0
◎お好み焼＆塩焼そば,0.0,,0.0,0.0,0.0,,不明,,,0.0
◎お肉たっぷりメンチカツ,8.34,5.464579824017692,1.0,28.0,7.0,0.66,通常,9.0,17.0,58.0
◎きんつば,1.0625,0.4425306015783918,0.0,2.0,1.0,0.42,通常,1.0,2.0,7.0
◎こだわりのバタークッキ,1.0588235294117647,0.42874646285627216,0.0,2.0,1.0,0.4,通常,1.0,2.0,7.0
◎こだわりのフィナンシェ,3.7325581395348837,2.5595239382935406,0.0,11.0,3.0,0.69,通常,4.0,8.0,26.0
◎こだわりのフロランタン,1.6666666666666667,1.0327955589886446,1.0,3.0,1.0,0.62,通常,2.0,4.0,12.0
◎こだわりのマドレーヌ,3.142857142857143,1.889822365046136,1.0,9.0,3.0,0.6,通常,3.0,6.0,22.0
◎こだわりのワッフル,3.2954545454545454,1.7561654342324629,1.0,10.0,3.0,0.53,通常,3.0,6.0,23.0
◎しっとりやわらか食パ６,0.8888888888888888,1.3642254619787415,0.0,4.0,0.0,1.53,変動大,2.0,3.0,6.0
◎しっとりケーキ（チョコ,9.876404494382022,7.616996880062945,1.0,40.0,7.0,0.77,変動大,13.0,23.0,69.0
◎しっとりバウムクーヘン,4.103448275862069,2.685163728751095,0.0,18.0,4.0,0.65,通常,4.0,8.0,29.0
◎しみチョココーン,1.2413793103448276,0.5766388083288672,1.0,3.0,1.0,0.46,通常,1.0,2.0,9.0
◎しみ旨フレンチトースト,9.338709677419354,6.081262671914679,1.0,30.0,8.0,0.65,通常,10.0,19.0,65.0
◎たっぷりクリームデニッ,5.545454545454546,2.5815841652961535,1.0,18.0,5.5,0.47,通常,4.0,10.0,39.0
◎たっぷりマロンクリーム,12.357142857142858,8.940892597473724,2.0,32.0,11.0,0.72,変動大,15.0,27.0,86.0
◎たまご蒸しパン４個入,5.833333333333333,2.50293944839921,2.0,10.0,6.0,0.43,通常,4.0,10.0,41.0
◎ちいさなオールレーズン,1.8208955223880596,1.013923868015327,1.0,5.0,2.0,0.56,通常,2.0,4.0,13.0
◎つぶあんどら焼き,1.3414634146341464,0.6931722764782567,0.0,4.0,1.0,0.52,通常,1.0,2.0,9.0
◎つぶあんぱん北海道小豆,5.2727272727272725,2.5276483818946645,1.0,11.0,5.0,0.48,通常,4.0,9.0,37.0
◎つぶつぶいちご蒸しＣ,10.434782608695652,7.8672282687367785,1.0,27.0,10.0,0.75,変動大,13.0,23.0,73.0
◎でっかいカレーたまごパ,3.2,1.8205179796655988,1.0,8.0,3.0,0.57,通常,3.0,6.0,22.0
◎とうふとわかめ,1.3333333333333333,0.6513389472789296,1.0,3.0,1.0,0.49,通常,1.0,2.0,9.0
◎とろけるチョコミントＣ,3.0,1.9069251784911847,1.0,7.0,2.0,0.64,通常,3.0,6.0,21.0
◎とん汁,1.0526315789473684,0.22941573387056177,1.0,2.0,1.0,0.22,安定,0.0,1.0,7.0
◎どかっとテリマヨチキン,2.6,2.1313979316066587,0.0,8.0,2.0,0.82,変動大,4.0,7.0,18.0
◎どかっとパン（テリマヨ,9.6,4.702582876918355,4.0,22.0,9.0,0.49,通常,8.0,18.0,67.0
◎どかっとベーコンチーズ,8.205882352941176,6.371239410201393,2.0,35.0,6.5,0.78,変動大,10.0,18.0,57.0
◎どかっと満足パン（ベー,6.461538461538462,4.502136245076416,1.0,13.0,6.0,0.7,変動大,7.0,13.0,45.0
◎なすトマトソースグラタ,1.0,,1.0,1.0,1.0,,不明,,,7.0
◎のむヨーグルトいちご,4.32183908045977,2.7300832804128605,1.0,14.0,4.0,0.63,通常,4.0,8.0,30.0
◎のむヨーグルトパイン,2.358974358974359,1.0879042984027278,1.0,5.0,2.0,0.46,通常,2.0,4.0,17.0
◎のむヨーグルトプレーン,17.98913043478261,8.085388483422102,6.0,45.0,17.0,0.45,通常,13.0,31.0,126.0
◎のむヨーグルトメロン,3.1,1.286683937707919,2.0,6.0,3.0,0.42,通常,2.0,5.0,22.0
◎のむＹＧアサイーボウル,5.933333333333334,3.5348604067541474,2.0,15.0,6.0,0.6,通常,6.0,12.0,42.0
◎はちみつすいーとぽてと,3.6,2.7723120830300267,1.0,10.0,3.0,0.77,変動大,5.0,9.0,25.0
◎ばかうけたっぷり青のり,1.2745098039215685,0.6026087079539764,0.0,3.0,1.0,0.47,通常,1.0,2.0,9.0
◎ばんそうこう３サイズ,1.0952380952380953,0.5389584311207966,0.0,2.0,1.0,0.49,通常,1.0,2.0,8.0
◎ばんそうこうＭサイズ,2.1333333333333333,1.1547005383792517,0.0,6.0,2.0,0.54,通常,2.0,4.0,15.0
◎ひとくちこしあん大福５,1.925,1.0283943488316436,0.0,5.0,2.0,0.53,通常,2.0,4.0,13.0
◎ひとくち濃厚梅だれせん,1.1111111111111112,0.6009252125773316,0.0,2.0,1.0,0.54,通常,1.0,2.0,8.0
◎ひと口もち食感チーズ（,17.77173913043478,8.155229241116112,7.0,50.0,16.5,0.46,通常,13.0,31.0,124.0
◎ふくちゃん豚骨どんぶり,1.6666666666666667,1.1547005383792517,1.0,3.0,1.0,0.69,通常,2.0,4.0,12.0
◎ふわふわアソートリン４,6.0,,6.0,6.0,6.0,,不明,,,42.0
◎ふわもち食感のメープル,27.0,,27.0,27.0,27.0,,不明,,,189.0
◎ふんわりとしたパンケ８,3.8,2.8454440293454955,0.0,12.0,3.0,0.75,変動大,5.0,9.0,27.0
◎ふんわりもっちパン（チ,18.56140350877193,5.946239939958604,4.0,33.0,18.0,0.32,通常,10.0,29.0,130.0
◎ふんわりカステラ,1.35,0.6621642835894567,1.0,4.0,1.0,0.49,通常,1.0,2.0,9.0
◎ふんわりホットケーキ２,16.445652173913043,7.347518277943957,4.0,40.0,16.0,0.45,通常,12.0,28.0,115.0
◎ぶどうぱん（シュガーマ,8.25,5.063427482678153,1.0,22.0,6.5,0.61,通常,8.0,16.0,58.0
◎みるくバターまんじゅう,1.3157894736842106,0.5253191132035964,1.0,3.0,1.0,0.4,通常,1.0,2.0,9.0
◎もちっとつぶあんドーナ,11.552631578947368,9.534283426413966,1.0,34.0,7.5,0.83,変動大,16.0,28.0,81.0
◎もちもちくるみパン,16.76086956521739,8.12589074098638,3.0,42.0,16.0,0.48,通常,13.0,30.0,117.0
◎もちもちレモンドーナツ,2.1818181818181817,1.6854996561581048,0.0,8.0,2.0,0.77,変動大,3.0,5.0,15.0
◎もっちパン（ミート＆チ,14.934782608695652,6.938987397745283,2.0,40.0,13.5,0.46,通常,11.0,26.0,105.0
◎もっち歩き（チョコ）,15.785714285714286,8.974685150186247,1.0,32.0,14.5,0.57,通常,15.0,31.0,110.0
◎やみつき種ぬき干し梅,2.236842105263158,1.3050509165304018,1.0,7.0,2.0,0.58,通常,2.0,4.0,16.0
◎やわらか燻製さきいか,1.1304347826086956,0.45769658728016005,0.0,2.0,1.0,0.4,通常,1.0,2.0,8.0
