商品名,平均,標準偏差,最小,最大,中央値,変動係数_CV,需要パターン,安全在庫,発注点,推奨発注量_週間
その他３口座売上,13.294117647058824,21.20072140836944,0.0,75.0,2.0,1.59,変動大,35.0,48.0,93.0
ブレンドＳ,40.306451612903224,63.98349907918176,1.0,194.0,9.0,1.59,変動大,105.0,145.0,282.0
ポケカ拡張インフェルノ,156.5,234.11891565327795,8.0,506.0,56.0,1.5,変動大,385.0,542.0,1096.0
週刊少年ジャンプ,6.574468085106383,8.566224577680861,1.0,36.0,2.0,1.3,変動大,14.0,21.0,46.0
ライオンコーヒーブラック,9.5,12.020815280171307,1.0,18.0,9.5,1.27,変動大,20.0,30.0,66.0
漬けぶりおむすび,9.0,11.313708498984761,1.0,17.0,9.0,1.26,変動大,19.0,28.0,63.0
◎ハムチーズクロワッサン,9.277777777777779,10.980972680336167,1.0,48.0,5.0,1.18,変動大,18.0,27.0,65.0
たっぷりコーンマヨネーズ,6.0,7.0710678118654755,1.0,11.0,6.0,1.18,変動大,12.0,18.0,42.0
ガルボ紫いもＰＫＰ,5.5,6.363961030678928,1.0,10.0,5.5,1.16,変動大,10.0,16.0,38.0
メガライフガード　７００,6.666666666666667,7.5938571665963455,1.0,25.0,4.0,1.14,変動大,12.0,19.0,47.0
天然水きりっとヨグ,15.659574468085106,16.719263292154277,1.0,60.0,6.0,1.07,変動大,28.0,44.0,110.0
ライオンコーヒカフェオレ,8.0,8.48528137423857,2.0,14.0,8.0,1.06,変動大,14.0,22.0,56.0
専炭治郎の抹茶クリームロ,9.428571428571429,9.66925568461738,1.0,34.0,7.0,1.03,変動大,16.0,25.0,66.0
専胡蝶しのぶの藤色メロン,15.61111111111111,16.02255354873942,2.0,56.0,8.5,1.03,変動大,26.0,42.0,109.0
オレンジパンチ３５０,6.105263157894737,6.270696725795357,1.0,28.0,4.0,1.03,変動大,10.0,16.0,43.0
◎白生クリームパン（ダブ,8.320754716981131,8.523211711613584,1.0,40.0,5.0,1.02,変動大,14.0,22.0,58.0
Ｐルック生キャラメル,6.0,5.981452814975453,1.0,21.0,4.5,1.0,変動大,10.0,16.0,42.0
大きなチーズカレーパン（,8.0,7.816869467751272,1.0,29.0,5.0,0.98,変動大,13.0,21.0,56.0
ジョージア　カフェモカ,13.333333333333334,13.002262246602005,1.0,34.0,5.0,0.98,変動大,21.0,34.0,93.0
カルピス　ひんやりライチ,14.38888888888889,13.92475108612206,1.0,38.0,7.0,0.97,変動大,23.0,37.0,101.0
ツナとたまごサンド,7.5,7.23582357835947,1.0,28.0,5.5,0.96,変動大,12.0,20.0,52.0
ＳＰＡＭむすび　玉子焼き,6.388888888888889,6.156191420875207,1.0,16.0,2.5,0.96,変動大,10.0,16.0,45.0
伊右衛門　６００,25.547169811320753,24.42300778249244,1.0,104.0,19.0,0.96,変動大,40.0,66.0,179.0
◎大きいあらびきチョリソ,11.869565217391305,11.111045283024193,1.0,54.0,8.0,0.94,変動大,18.0,30.0,83.0
ポケカ拡張　ブラック,30.0,28.284271247461902,10.0,50.0,30.0,0.94,変動大,47.0,77.0,210.0
週刊少年マガジン,6.84,6.4010415819094115,1.0,22.0,2.0,0.94,変動大,11.0,18.0,48.0
ポケカ拡張　ホワイト,30.0,28.284271247461902,10.0,50.0,30.0,0.94,変動大,47.0,77.0,210.0
◎手巻きソーセージドーナ,8.833333333333334,8.286535263104033,1.0,29.0,7.0,0.94,変動大,14.0,23.0,62.0
ポケカ拡張　バトルＰ,29.5,27.577164466275352,10.0,49.0,29.5,0.93,変動大,45.0,74.0,206.0
サクレグミレモン＆梨,6.125,5.720386882629225,1.0,22.0,4.5,0.93,変動大,9.0,15.0,43.0
ポケカ拡張メガブレイブ,57.416666666666664,52.93127333599388,10.0,210.0,36.5,0.92,変動大,87.0,144.0,402.0
◎ソフトなチーズクリーム,8.825,8.085718654136203,1.0,32.0,5.0,0.92,変動大,13.0,22.0,62.0
◎塩キャラメルケーキタ３,6.774193548387097,6.184441108779111,1.0,25.0,4.0,0.91,変動大,10.0,17.0,47.0
ジョージア　カフェラテ,14.506172839506172,13.217529512724877,1.0,60.0,9.0,0.91,変動大,22.0,37.0,102.0
炭火焼うなぎおむすび,13.583333333333334,12.36375019322939,1.0,40.0,8.0,0.91,変動大,20.0,34.0,95.0
カルピスウォーター５００,14.791208791208792,13.193867669419157,1.0,66.0,13.0,0.89,変動大,22.0,37.0,104.0
ジョージア　ブラック,17.26086956521739,15.426917054971543,1.0,68.0,11.0,0.89,変動大,25.0,42.0,121.0
◎ベーコンチーズオニオン,7.848484848484849,6.9467672882842235,1.0,30.0,5.0,0.89,変動大,11.0,19.0,55.0
グリーンダカラ麦茶６８０,30.593220338983052,26.987940246727955,1.0,109.0,24.0,0.88,変動大,44.0,75.0,214.0
モッチュＳマスカット,10.5,9.192388155425117,4.0,17.0,10.5,0.88,変動大,15.0,26.0,74.0
ダブルシュー,7.4324324324324325,6.429983448882769,1.0,24.0,5.0,0.87,変動大,11.0,18.0,52.0
◎和風ツナパン,6.260869565217392,5.420645645076439,1.0,24.0,4.0,0.87,変動大,9.0,15.0,44.0
ソルティライチ,15.466666666666667,13.23359701243923,1.0,75.0,11.0,0.86,変動大,22.0,37.0,108.0
◎マラサダ（マカダミアチ,12.085714285714285,10.35082102049491,1.0,46.0,10.0,0.86,変動大,17.0,29.0,85.0
ＳＰＡＭ　玉子焼き,19.055555555555557,16.469789563135535,2.0,62.0,13.5,0.86,変動大,27.0,46.0,133.0
ワンピカード意志,10.6,9.1156314560268,1.0,42.0,10.0,0.86,変動大,15.0,26.0,74.0
烏龍茶　６００,13.846153846153847,11.878357824858815,1.0,46.0,10.5,0.86,変動大,20.0,34.0,97.0
ポケカ拡張メガシンフォ,52.92307692307692,45.16352056409674,5.0,170.0,41.0,0.85,変動大,74.0,127.0,370.0
キリン晴れ風３５０,5.0,4.195235392680606,0.0,14.0,4.0,0.84,変動大,7.0,12.0,35.0
◎ハムチーズマヨネーズ２,9.030303030303031,7.595483874736048,1.0,38.0,7.0,0.84,変動大,12.0,21.0,63.0
◎もちっとつぶあんドーナ,11.552631578947368,9.534283426413966,1.0,34.0,7.5,0.83,変動大,16.0,28.0,81.0
海苔監修　手巻たまごかけ,5.916666666666667,4.9259670639531805,1.0,16.0,5.5,0.83,変動大,8.0,14.0,41.0
茶流彩彩　コーン茶,12.615384615384615,10.460548595703617,1.0,43.0,11.0,0.83,変動大,17.0,30.0,88.0
健康ミネラルむぎ茶,59.59154929577465,49.19743822157198,1.0,306.0,48.0,0.83,変動大,81.0,141.0,417.0
サンドおむすび炙り焼チキ,9.466666666666667,7.899969861304776,1.0,26.0,5.0,0.83,変動大,13.0,22.0,66.0
おーいお茶濃く香るほうじ,14.05,11.468377575338472,1.0,37.0,10.0,0.82,変動大,19.0,33.0,98.0
◎ホットサンド（ハム＆チ,8.080645161290322,6.544421694439345,1.0,26.0,6.5,0.81,変動大,11.0,19.0,57.0
専スヌーピーチョコドーナ,9.285714285714286,7.557399401532626,1.0,33.0,8.0,0.81,変動大,12.0,21.0,65.0
マッチビタミンみかん,10.666666666666666,8.673567272510732,1.0,32.0,9.0,0.81,変動大,14.0,25.0,75.0
大粒ラムネアイスボックス,5.542857142857143,4.4809587809573355,1.0,18.0,5.0,0.81,変動大,7.0,13.0,39.0
◎生スコーン６個入（スイ,6.78125,5.493306043752029,1.0,19.0,5.0,0.81,変動大,9.0,16.0,47.0
◎生コッペパン（厚ぎりと,8.035714285714286,6.523360545319628,1.0,28.0,6.0,0.81,変動大,11.0,19.0,56.0
