日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-18,1,しらすおむすび,1280.11,1536,165.0,211218.0
2025-10-18,1,Ｍアーモンドチョコレート,1280.11,1536,305.0,390434.0
2025-10-18,1,龍角散ののどすっきりタブ,1280.11,1536,200.0,256022.0
2025-10-18,1,忍者めし鋼グレープ味,1280.11,1536,148.0,189456.0
2025-10-18,1,◎もちもちくるみパン,1280.11,1536,128.0,163854.0
2025-10-18,1,ｉｎゼリーエネルギー,1280.11,1536,210.0,268823.0
2025-10-18,1,◎白生クロワッサン（ダブ,1280.11,1536,156.0,199697.0
2025-10-18,1,モンスター　リッパー,1280.11,1536,213.0,272663.0
2025-10-18,1,◎レモン香るティーソーダ,1280.11,1536,130.0,166414.0
2025-10-18,1,カルピス　ひんやりライチ,1280.11,1536,160.0,204818.0
2025-10-18,1,カルピスウォーター５００,1280.11,1536,160.0,204818.0
2025-10-18,1,トロピカーナアップル,1280.11,1536,120.0,153613.0
2025-10-18,1,ミンティアＢカルピス,1280.11,1536,211.0,270103.0
2025-10-18,1,◎ボディＰレモンミント,1280.11,1536,350.0,448038.0
2025-10-18,1,薬用リップスティック,1280.11,1536,299.0,382753.0
2025-10-18,1,さらさらシートクール,1280.11,1536,295.0,377632.0
2025-10-18,1,◎のむＹＧアサイーボウル,1280.11,1536,184.0,235540.0
2025-10-18,1,Ｚｅｒｏシート携帯,1280.11,1536,328.0,419876.0
2025-10-18,1,レッドブルエナジー２５０,1280.11,1536,198.0,253462.0
2025-10-18,1,ペパーミント１００ＭＬ,1280.11,1536,200.0,256022.0
2025-10-18,1,ヘアリングゴム黒,1280.11,1536,200.0,256022.0
2025-10-18,1,１日分鉄分のむヨーグルト,1280.11,1536,145.0,185616.0
2025-10-18,1,ザバスミルクココア風味,1280.11,1536,181.0,231700.0
2025-10-18,1,イーラインマスクベージュ,1280.11,1536,299.0,382753.0
2025-10-18,1,ブルガリアＹＯ　苺,1280.11,1536,158.0,202257.0
2025-10-18,1,◎カフェラテレギュラー,1280.11,1536,181.0,231700.0
2025-10-18,1,金のミルクキャンディ,1280.11,1536,221.0,282904.0
2025-10-18,1,ミンティアＢリフレッシュ,1280.11,1536,211.0,270103.0
2025-10-18,1,邪払のど飴,1280.11,1536,258.0,330268.0
2025-10-18,1,◎生コッペパン（たまご）,1280.11,1536,128.0,163854.0
2025-10-18,1,キレートクエン酸ゼリー,1280.11,1536,210.0,268823.0
2025-10-18,1,◎もっち歩き（チョコ）,1280.11,1536,125.0,160014.0
2025-10-18,1,ミンティアワイルド＆クー,1280.11,1536,105.0,134412.0
2025-10-18,1,アーモンドＣ香ばしＰＪ,1280.11,1536,175.0,224019.0
2025-10-18,1,ミンティアＢクリスタル,1280.11,1536,211.0,270103.0
2025-10-18,1,ブラックＴひとくちサイズ,1280.11,1536,120.0,153613.0
2025-10-18,1,ジャムグミいちご,1280.11,1536,182.0,232980.0
2025-10-18,1,ぷにキャラグミちいかわ,1280.11,1536,218.0,279064.0
2025-10-18,1,ソルベットグミ白桃味,1280.11,1536,140.0,179215.0
2025-10-18,1,つぶグミカタイソーダ,1280.11,1536,168.0,215058.0
2025-10-18,1,たべっ子グミパイナップル,1280.11,1536,200.0,256022.0
2025-10-18,1,おとうふくんグミ,1280.11,1536,161.0,206098.0
2025-10-18,1,あの日夢見た雲グミ,1280.11,1536,171.0,218899.0
2025-10-18,1,ピュレグミなつももソーダ,1280.11,1536,150.0,192016.0
2025-10-18,1,ポケぷに,1280.11,1536,218.0,279064.0
2025-10-18,1,龍角散のど飴ｍａｘＳＴ,1280.11,1536,160.0,204818.0
2025-10-18,1,忍者めし巨峰,1280.11,1536,125.0,160014.0
2025-10-18,1,即攻元気ゼリー,1280.11,1536,204.0,261142.0
