日付,店舗ID,商品ID,予測販売数量,発注数量,単価,予測売上金額
2025-10-15,10,しらすおむすび,1209.85,1452,165.0,199625.0
2025-10-16,10,しらすおむすび,1153.41,1384,165.0,190313.0
2025-10-17,10,しらすおむすび,1234.47,1481,165.0,203688.0
2025-10-18,10,しらすおむすび,1357.64,1629,165.0,224011.0
2025-10-19,10,しらすおむすび,1210.79,1453,165.0,199780.0
2025-10-20,10,しらすおむすび,1188.04,1426,165.0,196027.0
2025-10-21,10,しらすおむすび,1160.16,1392,165.0,191426.0
2025-10-15,10,Ｍアーモンドチョコレート,1209.85,1452,305.0,369004.0
2025-10-16,10,Ｍアーモンドチョコレート,1153.41,1384,305.0,351790.0
2025-10-17,10,Ｍアーモンドチョコレート,1234.47,1481,305.0,376513.0
2025-10-18,10,Ｍアーモンドチョコレート,1357.64,1629,305.0,414080.0
2025-10-19,10,Ｍアーモンドチョコレート,1210.79,1453,305.0,369291.0
2025-10-20,10,Ｍアーモンドチョコレート,1188.04,1426,305.0,362352.0
2025-10-21,10,Ｍアーモンドチョコレート,1160.16,1392,305.0,353849.0
2025-10-15,10,龍角散ののどすっきりタブ,1209.85,1452,200.0,241970.0
2025-10-16,10,龍角散ののどすっきりタブ,1153.41,1384,200.0,230682.0
2025-10-17,10,龍角散ののどすっきりタブ,1234.47,1481,200.0,246894.0
2025-10-18,10,龍角散ののどすっきりタブ,1357.64,1629,200.0,271528.0
2025-10-19,10,龍角散ののどすっきりタブ,1210.79,1453,200.0,242158.0
2025-10-20,10,龍角散ののどすっきりタブ,1188.04,1426,200.0,237608.0
2025-10-21,10,龍角散ののどすっきりタブ,1160.16,1392,200.0,232032.0
2025-10-15,10,忍者めし鋼グレープ味,1209.85,1452,148.0,179058.0
2025-10-16,10,忍者めし鋼グレープ味,1153.41,1384,148.0,170705.0
2025-10-17,10,忍者めし鋼グレープ味,1234.47,1481,148.0,182702.0
2025-10-18,10,忍者めし鋼グレープ味,1357.64,1629,148.0,200931.0
2025-10-19,10,忍者めし鋼グレープ味,1210.79,1453,148.0,179197.0
2025-10-20,10,忍者めし鋼グレープ味,1188.04,1426,148.0,175830.0
2025-10-21,10,忍者めし鋼グレープ味,1160.16,1392,148.0,171704.0
2025-10-15,10,◎もちもちくるみパン,1209.85,1452,128.0,154861.0
2025-10-16,10,◎もちもちくるみパン,1153.41,1384,128.0,147636.0
2025-10-17,10,◎もちもちくるみパン,1234.47,1481,128.0,158012.0
2025-10-18,10,◎もちもちくるみパン,1357.64,1629,128.0,173778.0
2025-10-19,10,◎もちもちくるみパン,1210.79,1453,128.0,154981.0
2025-10-20,10,◎もちもちくるみパン,1188.04,1426,128.0,152069.0
2025-10-21,10,◎もちもちくるみパン,1160.16,1392,128.0,148500.0
2025-10-15,10,ｉｎゼリーエネルギー,1209.85,1452,210.0,254068.0
2025-10-16,10,ｉｎゼリーエネルギー,1153.41,1384,210.0,242216.0
2025-10-17,10,ｉｎゼリーエネルギー,1234.47,1481,210.0,259239.0
2025-10-18,10,ｉｎゼリーエネルギー,1357.64,1629,210.0,285104.0
2025-10-19,10,ｉｎゼリーエネルギー,1210.79,1453,210.0,254266.0
2025-10-20,10,ｉｎゼリーエネルギー,1188.04,1426,210.0,249488.0
2025-10-21,10,ｉｎゼリーエネルギー,1160.16,1392,210.0,243634.0
2025-10-15,10,◎白生クロワッサン（ダブ,1209.85,1452,156.0,188737.0
2025-10-16,10,◎白生クロワッサン（ダブ,1153.41,1384,156.0,179932.0
2025-10-17,10,◎白生クロワッサン（ダブ,1234.47,1481,156.0,192577.0
2025-10-18,10,◎白生クロワッサン（ダブ,1357.64,1629,156.0,211792.0
2025-10-19,10,◎白生クロワッサン（ダブ,1210.79,1453,156.0,188883.0
2025-10-20,10,◎白生クロワッサン（ダブ,1188.04,1426,156.0,185334.0
2025-10-21,10,◎白生クロワッサン（ダブ,1160.16,1392,156.0,180985.0
2025-10-15,10,モンスター　リッパー,1209.85,1452,213.0,257698.0
2025-10-16,10,モンスター　リッパー,1153.41,1384,213.0,245676.0
2025-10-17,10,モンスター　リッパー,1234.47,1481,213.0,262942.0
2025-10-18,10,モンスター　リッパー,1357.64,1629,213.0,289177.0
2025-10-19,10,モンスター　リッパー,1210.79,1453,213.0,257898.0
2025-10-20,10,モンスター　リッパー,1188.04,1426,213.0,253053.0
2025-10-21,10,モンスター　リッパー,1160.16,1392,213.0,247114.0
2025-10-15,10,◎レモン香るティーソーダ,1209.85,1452,130.0,157280.0
2025-10-16,10,◎レモン香るティーソーダ,1153.41,1384,130.0,149943.0
2025-10-17,10,◎レモン香るティーソーダ,1234.47,1481,130.0,160481.0
2025-10-18,10,◎レモン香るティーソーダ,1357.64,1629,130.0,176493.0
2025-10-19,10,◎レモン香るティーソーダ,1210.79,1453,130.0,157403.0
2025-10-20,10,◎レモン香るティーソーダ,1188.04,1426,130.0,154445.0
2025-10-21,10,◎レモン香るティーソーダ,1160.16,1392,130.0,150821.0
2025-10-15,10,カルピス　ひんやりライチ,1209.85,1452,160.0,193576.0
2025-10-16,10,カルピス　ひんやりライチ,1153.41,1384,160.0,184546.0
2025-10-17,10,カルピス　ひんやりライチ,1234.47,1481,160.0,197515.0
2025-10-18,10,カルピス　ひんやりライチ,1357.64,1629,160.0,217222.0
2025-10-19,10,カルピス　ひんやりライチ,1210.79,1453,160.0,193726.0
2025-10-20,10,カルピス　ひんやりライチ,1188.04,1426,160.0,190086.0
2025-10-21,10,カルピス　ひんやりライチ,1160.16,1392,160.0,185626.0
2025-10-15,10,カルピスウォーター５００,1209.85,1452,160.0,193576.0
2025-10-16,10,カルピスウォーター５００,1153.41,1384,160.0,184546.0
2025-10-17,10,カルピスウォーター５００,1234.47,1481,160.0,197515.0
2025-10-18,10,カルピスウォーター５００,1357.64,1629,160.0,217222.0
2025-10-19,10,カルピスウォーター５００,1210.79,1453,160.0,193726.0
2025-10-20,10,カルピスウォーター５００,1188.04,1426,160.0,190086.0
2025-10-21,10,カルピスウォーター５００,1160.16,1392,160.0,185626.0
2025-10-15,10,トロピカーナアップル,1209.85,1452,120.0,145182.0
2025-10-16,10,トロピカーナアップル,1153.41,1384,120.0,138409.0
2025-10-17,10,トロピカーナアップル,1234.47,1481,120.0,148136.0
2025-10-18,10,トロピカーナアップル,1357.64,1629,120.0,162917.0
2025-10-19,10,トロピカーナアップル,1210.79,1453,120.0,145295.0
2025-10-20,10,トロピカーナアップル,1188.04,1426,120.0,142565.0
2025-10-21,10,トロピカーナアップル,1160.16,1392,120.0,139219.0
2025-10-15,10,ミンティアＢカルピス,1209.85,1452,211.0,255278.0
2025-10-16,10,ミンティアＢカルピス,1153.41,1384,211.0,243370.0
2025-10-17,10,ミンティアＢカルピス,1234.47,1481,211.0,260473.0
2025-10-18,10,ミンティアＢカルピス,1357.64,1629,211.0,286462.0
2025-10-19,10,ミンティアＢカルピス,1210.79,1453,211.0,255477.0
2025-10-20,10,ミンティアＢカルピス,1188.04,1426,211.0,250676.0
2025-10-21,10,ミンティアＢカルピス,1160.16,1392,211.0,244794.0
2025-10-15,10,◎ボディＰレモンミント,1209.85,1452,350.0,423447.0
2025-10-16,10,◎ボディＰレモンミント,1153.41,1384,350.0,403694.0
2025-10-17,10,◎ボディＰレモンミント,1234.47,1481,350.0,432064.0
2025-10-18,10,◎ボディＰレモンミント,1357.64,1629,350.0,475174.0
2025-10-19,10,◎ボディＰレモンミント,1210.79,1453,350.0,423776.0
2025-10-20,10,◎ボディＰレモンミント,1188.04,1426,350.0,415814.0
2025-10-21,10,◎ボディＰレモンミント,1160.16,1392,350.0,406056.0
2025-10-15,10,薬用リップスティック,1209.85,1452,299.0,361745.0
2025-10-16,10,薬用リップスティック,1153.41,1384,299.0,344870.0
2025-10-17,10,薬用リップスティック,1234.47,1481,299.0,369107.0
2025-10-18,10,薬用リップスティック,1357.64,1629,299.0,405934.0
2025-10-19,10,薬用リップスティック,1210.79,1453,299.0,362026.0
2025-10-20,10,薬用リップスティック,1188.04,1426,299.0,355224.0
2025-10-21,10,薬用リップスティック,1160.16,1392,299.0,346888.0
2025-10-15,10,さらさらシートクール,1209.85,1452,295.0,356906.0
2025-10-16,10,さらさらシートクール,1153.41,1384,295.0,340256.0
2025-10-17,10,さらさらシートクール,1234.47,1481,295.0,364169.0
2025-10-18,10,さらさらシートクール,1357.64,1629,295.0,400504.0
2025-10-19,10,さらさらシートクール,1210.79,1453,295.0,357183.0
2025-10-20,10,さらさらシートクール,1188.04,1426,295.0,350472.0
2025-10-21,10,さらさらシートクール,1160.16,1392,295.0,342247.0
2025-10-15,10,◎のむＹＧアサイーボウル,1209.85,1452,184.0,222612.0
2025-10-16,10,◎のむＹＧアサイーボウル,1153.41,1384,184.0,212227.0
2025-10-17,10,◎のむＹＧアサイーボウル,1234.47,1481,184.0,227142.0
2025-10-18,10,◎のむＹＧアサイーボウル,1357.64,1629,184.0,249806.0
2025-10-19,10,◎のむＹＧアサイーボウル,1210.79,1453,184.0,222785.0
2025-10-20,10,◎のむＹＧアサイーボウル,1188.04,1426,184.0,218599.0
2025-10-21,10,◎のむＹＧアサイーボウル,1160.16,1392,184.0,213469.0
2025-10-15,10,Ｚｅｒｏシート携帯,1209.85,1452,328.0,396831.0
2025-10-16,10,Ｚｅｒｏシート携帯,1153.41,1384,328.0,378318.0
2025-10-17,10,Ｚｅｒｏシート携帯,1234.47,1481,328.0,404906.0
2025-10-18,10,Ｚｅｒｏシート携帯,1357.64,1629,328.0,445306.0
2025-10-19,10,Ｚｅｒｏシート携帯,1210.79,1453,328.0,397139.0
2025-10-20,10,Ｚｅｒｏシート携帯,1188.04,1426,328.0,389677.0
2025-10-21,10,Ｚｅｒｏシート携帯,1160.16,1392,328.0,380532.0
2025-10-15,10,レッドブルエナジー２５０,1209.85,1452,198.0,239550.0
2025-10-16,10,レッドブルエナジー２５０,1153.41,1384,198.0,228375.0
2025-10-17,10,レッドブルエナジー２５０,1234.47,1481,198.0,244425.0
2025-10-18,10,レッドブルエナジー２５０,1357.64,1629,198.0,268813.0
2025-10-19,10,レッドブルエナジー２５０,1210.79,1453,198.0,239736.0
2025-10-20,10,レッドブルエナジー２５０,1188.04,1426,198.0,235232.0
2025-10-21,10,レッドブルエナジー２５０,1160.16,1392,198.0,229712.0
2025-10-15,10,ペパーミント１００ＭＬ,1209.85,1452,200.0,241970.0
2025-10-16,10,ペパーミント１００ＭＬ,1153.41,1384,200.0,230682.0
2025-10-17,10,ペパーミント１００ＭＬ,1234.47,1481,200.0,246894.0
2025-10-18,10,ペパーミント１００ＭＬ,1357.64,1629,200.0,271528.0
2025-10-19,10,ペパーミント１００ＭＬ,1210.79,1453,200.0,242158.0
2025-10-20,10,ペパーミント１００ＭＬ,1188.04,1426,200.0,237608.0
2025-10-21,10,ペパーミント１００ＭＬ,1160.16,1392,200.0,232032.0
2025-10-15,10,ヘアリングゴム黒,1209.85,1452,200.0,241970.0
2025-10-16,10,ヘアリングゴム黒,1153.41,1384,200.0,230682.0
2025-10-17,10,ヘアリングゴム黒,1234.47,1481,200.0,246894.0
2025-10-18,10,ヘアリングゴム黒,1357.64,1629,200.0,271528.0
2025-10-19,10,ヘアリングゴム黒,1210.79,1453,200.0,242158.0
2025-10-20,10,ヘアリングゴム黒,1188.04,1426,200.0,237608.0
2025-10-21,10,ヘアリングゴム黒,1160.16,1392,200.0,232032.0
2025-10-15,10,１日分鉄分のむヨーグルト,1209.85,1452,145.0,175428.0
2025-10-16,10,１日分鉄分のむヨーグルト,1153.41,1384,145.0,167244.0
2025-10-17,10,１日分鉄分のむヨーグルト,1234.47,1481,145.0,178998.0
2025-10-18,10,１日分鉄分のむヨーグルト,1357.64,1629,145.0,196858.0
2025-10-19,10,１日分鉄分のむヨーグルト,1210.79,1453,145.0,175565.0
2025-10-20,10,１日分鉄分のむヨーグルト,1188.04,1426,145.0,172266.0
2025-10-21,10,１日分鉄分のむヨーグルト,1160.16,1392,145.0,168223.0
2025-10-15,10,ザバスミルクココア風味,1209.85,1452,181.0,218983.0
2025-10-16,10,ザバスミルクココア風味,1153.41,1384,181.0,208767.0
2025-10-17,10,ザバスミルクココア風味,1234.47,1481,181.0,223439.0
2025-10-18,10,ザバスミルクココア風味,1357.64,1629,181.0,245733.0
2025-10-19,10,ザバスミルクココア風味,1210.79,1453,181.0,219153.0
2025-10-20,10,ザバスミルクココア風味,1188.04,1426,181.0,215035.0
2025-10-21,10,ザバスミルクココア風味,1160.16,1392,181.0,209989.0
2025-10-15,10,イーラインマスクベージュ,1209.85,1452,299.0,361745.0
2025-10-16,10,イーラインマスクベージュ,1153.41,1384,299.0,344870.0
2025-10-17,10,イーラインマスクベージュ,1234.47,1481,299.0,369107.0
2025-10-18,10,イーラインマスクベージュ,1357.64,1629,299.0,405934.0
2025-10-19,10,イーラインマスクベージュ,1210.79,1453,299.0,362026.0
2025-10-20,10,イーラインマスクベージュ,1188.04,1426,299.0,355224.0
2025-10-21,10,イーラインマスクベージュ,1160.16,1392,299.0,346888.0
2025-10-15,10,ブルガリアＹＯ　苺,1209.85,1452,158.0,191156.0
2025-10-16,10,ブルガリアＹＯ　苺,1153.41,1384,158.0,182239.0
2025-10-17,10,ブルガリアＹＯ　苺,1234.47,1481,158.0,195046.0
2025-10-18,10,ブルガリアＹＯ　苺,1357.64,1629,158.0,214507.0
2025-10-19,10,ブルガリアＹＯ　苺,1210.79,1453,158.0,191305.0
2025-10-20,10,ブルガリアＹＯ　苺,1188.04,1426,158.0,187710.0
2025-10-21,10,ブルガリアＹＯ　苺,1160.16,1392,158.0,183305.0
2025-10-15,10,◎カフェラテレギュラー,1209.85,1452,181.0,218983.0
2025-10-16,10,◎カフェラテレギュラー,1153.41,1384,181.0,208767.0
2025-10-17,10,◎カフェラテレギュラー,1234.47,1481,181.0,223439.0
2025-10-18,10,◎カフェラテレギュラー,1357.64,1629,181.0,245733.0
2025-10-19,10,◎カフェラテレギュラー,1210.79,1453,181.0,219153.0
2025-10-20,10,◎カフェラテレギュラー,1188.04,1426,181.0,215035.0
2025-10-21,10,◎カフェラテレギュラー,1160.16,1392,181.0,209989.0
2025-10-15,10,金のミルクキャンディ,1209.85,1452,221.0,267377.0
2025-10-16,10,金のミルクキャンディ,1153.41,1384,221.0,254904.0
2025-10-17,10,金のミルクキャンディ,1234.47,1481,221.0,272818.0
2025-10-18,10,金のミルクキャンディ,1357.64,1629,221.0,300038.0
2025-10-19,10,金のミルクキャンディ,1210.79,1453,221.0,267585.0
2025-10-20,10,金のミルクキャンディ,1188.04,1426,221.0,262557.0
2025-10-21,10,金のミルクキャンディ,1160.16,1392,221.0,256395.0
2025-10-15,10,ミンティアＢリフレッシュ,1209.85,1452,211.0,255278.0
2025-10-16,10,ミンティアＢリフレッシュ,1153.41,1384,211.0,243370.0
2025-10-17,10,ミンティアＢリフレッシュ,1234.47,1481,211.0,260473.0
2025-10-18,10,ミンティアＢリフレッシュ,1357.64,1629,211.0,286462.0
2025-10-19,10,ミンティアＢリフレッシュ,1210.79,1453,211.0,255477.0
2025-10-20,10,ミンティアＢリフレッシュ,1188.04,1426,211.0,250676.0
2025-10-21,10,ミンティアＢリフレッシュ,1160.16,1392,211.0,244794.0
2025-10-15,10,邪払のど飴,1209.85,1452,258.0,312141.0
2025-10-16,10,邪払のど飴,1153.41,1384,258.0,297580.0
2025-10-17,10,邪払のど飴,1234.47,1481,258.0,318493.0
2025-10-18,10,邪払のど飴,1357.64,1629,258.0,350271.0
2025-10-19,10,邪払のど飴,1210.79,1453,258.0,312384.0
2025-10-20,10,邪払のど飴,1188.04,1426,258.0,306514.0
2025-10-21,10,邪払のど飴,1160.16,1392,258.0,299321.0
2025-10-15,10,◎生コッペパン（たまご）,1209.85,1452,128.0,154861.0
2025-10-16,10,◎生コッペパン（たまご）,1153.41,1384,128.0,147636.0
2025-10-17,10,◎生コッペパン（たまご）,1234.47,1481,128.0,158012.0
2025-10-18,10,◎生コッペパン（たまご）,1357.64,1629,128.0,173778.0
2025-10-19,10,◎生コッペパン（たまご）,1210.79,1453,128.0,154981.0
2025-10-20,10,◎生コッペパン（たまご）,1188.04,1426,128.0,152069.0
2025-10-21,10,◎生コッペパン（たまご）,1160.16,1392,128.0,148500.0
2025-10-15,10,キレートクエン酸ゼリー,1209.85,1452,210.0,254068.0
2025-10-16,10,キレートクエン酸ゼリー,1153.41,1384,210.0,242216.0
2025-10-17,10,キレートクエン酸ゼリー,1234.47,1481,210.0,259239.0
2025-10-18,10,キレートクエン酸ゼリー,1357.64,1629,210.0,285104.0
2025-10-19,10,キレートクエン酸ゼリー,1210.79,1453,210.0,254266.0
2025-10-20,10,キレートクエン酸ゼリー,1188.04,1426,210.0,249488.0
2025-10-21,10,キレートクエン酸ゼリー,1160.16,1392,210.0,243634.0
2025-10-15,10,◎もっち歩き（チョコ）,1209.85,1452,125.0,151231.0
2025-10-16,10,◎もっち歩き（チョコ）,1153.41,1384,125.0,144176.0
2025-10-17,10,◎もっち歩き（チョコ）,1234.47,1481,125.0,154309.0
2025-10-18,10,◎もっち歩き（チョコ）,1357.64,1629,125.0,169705.0
2025-10-19,10,◎もっち歩き（チョコ）,1210.79,1453,125.0,151349.0
2025-10-20,10,◎もっち歩き（チョコ）,1188.04,1426,125.0,148505.0
2025-10-21,10,◎もっち歩き（チョコ）,1160.16,1392,125.0,145020.0
2025-10-15,10,ミンティアワイルド＆クー,1209.85,1452,105.0,127034.0
2025-10-16,10,ミンティアワイルド＆クー,1153.41,1384,105.0,121108.0
2025-10-17,10,ミンティアワイルド＆クー,1234.47,1481,105.0,129619.0
2025-10-18,10,ミンティアワイルド＆クー,1357.64,1629,105.0,142552.0
2025-10-19,10,ミンティアワイルド＆クー,1210.79,1453,105.0,127133.0
2025-10-20,10,ミンティアワイルド＆クー,1188.04,1426,105.0,124744.0
2025-10-21,10,ミンティアワイルド＆クー,1160.16,1392,105.0,121817.0
2025-10-15,10,アーモンドＣ香ばしＰＪ,1209.85,1452,175.0,211724.0
2025-10-16,10,アーモンドＣ香ばしＰＪ,1153.41,1384,175.0,201847.0
2025-10-17,10,アーモンドＣ香ばしＰＪ,1234.47,1481,175.0,216032.0
2025-10-18,10,アーモンドＣ香ばしＰＪ,1357.64,1629,175.0,237587.0
2025-10-19,10,アーモンドＣ香ばしＰＪ,1210.79,1453,175.0,211888.0
2025-10-20,10,アーモンドＣ香ばしＰＪ,1188.04,1426,175.0,207907.0
2025-10-21,10,アーモンドＣ香ばしＰＪ,1160.16,1392,175.0,203028.0
2025-10-15,10,ミンティアＢクリスタル,1209.85,1452,211.0,255278.0
2025-10-16,10,ミンティアＢクリスタル,1153.41,1384,211.0,243370.0
2025-10-17,10,ミンティアＢクリスタル,1234.47,1481,211.0,260473.0
2025-10-18,10,ミンティアＢクリスタル,1357.64,1629,211.0,286462.0
2025-10-19,10,ミンティアＢクリスタル,1210.79,1453,211.0,255477.0
2025-10-20,10,ミンティアＢクリスタル,1188.04,1426,211.0,250676.0
2025-10-21,10,ミンティアＢクリスタル,1160.16,1392,211.0,244794.0
2025-10-15,10,ブラックＴひとくちサイズ,1209.85,1452,120.0,145182.0
2025-10-16,10,ブラックＴひとくちサイズ,1153.41,1384,120.0,138409.0
2025-10-17,10,ブラックＴひとくちサイズ,1234.47,1481,120.0,148136.0
2025-10-18,10,ブラックＴひとくちサイズ,1357.64,1629,120.0,162917.0
2025-10-19,10,ブラックＴひとくちサイズ,1210.79,1453,120.0,145295.0
2025-10-20,10,ブラックＴひとくちサイズ,1188.04,1426,120.0,142565.0
2025-10-21,10,ブラックＴひとくちサイズ,1160.16,1392,120.0,139219.0
2025-10-15,10,ジャムグミいちご,1209.85,1452,182.0,220193.0
2025-10-16,10,ジャムグミいちご,1153.41,1384,182.0,209921.0
2025-10-17,10,ジャムグミいちご,1234.47,1481,182.0,224674.0
2025-10-18,10,ジャムグミいちご,1357.64,1629,182.0,247090.0
2025-10-19,10,ジャムグミいちご,1210.79,1453,182.0,220364.0
2025-10-20,10,ジャムグミいちご,1188.04,1426,182.0,216223.0
2025-10-21,10,ジャムグミいちご,1160.16,1392,182.0,211149.0
2025-10-15,10,ぷにキャラグミちいかわ,1209.85,1452,218.0,263747.0
2025-10-16,10,ぷにキャラグミちいかわ,1153.41,1384,218.0,251443.0
